Time,Name,Type,Reaches Nitte at
07:41,Rajarajeshwari,Express,07:50
07:45,Kanthi,Local,08:00
07:50,Vishal,Express,08:00
07:52,Mercy,Local,08:07
08:00,Vishal,Express,08:10
07:58,Naveen,Local,08:12
08:05,Ayra,Express,08:15
08:05,Shahil,Local,08:19
08:15,Vishal,Express,08:25
08:25,Reshma,Express,08:35
08:30,Sangam,Local,08:45
08:35,"Vishal ",Express,08:47
08:48,Vishal,Express,09:02
08:59,Annapoorneshwari,Express,09:10
09:00,Jeevan,Local,09:15
09:05,Mercy,Local,09:21
09:10,Navadurga Prasad,Express,09:20
